vacancy_name,min_salary,max_salary,currency,company_name,company_city,vacancy_link,website
Head Data Scientist,350000,,₽,ООО Сеть Партнерств,Москва,https://chelyabinsk.hh.ru/vacancy/82903246?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist в центр искусственного интеллекта,,,,Сбер. Data Science,Владивосток,https://chelyabinsk.hh.ru/vacancy/83001332?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (Senior),,,,Газпромбанк,Москва,https://chelyabinsk.hh.ru/vacancy/82734450?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Ведущий разработчик Data Scientist/ Team lead Data Scientist,,,,НОРБИТ,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/83280889?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Middle+ Data Scientist,,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83357855?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Middle Data Scientist NLP (Маркетплейс),,,,Самокат (ООО Умное пространство),Москва,https://chelyabinsk.hh.ru/vacancy/82898956?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist (RnD в Центр валидации моделей КИБ),,,,Сбер. Data Science,"Москва, Кутузовская и еще 1 ",https://chelyabinsk.hh.ru/vacancy/82994350?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,"Inventive Retail Group, Офис","Москва, Шелепиха и еще 1 ",https://chelyabinsk.hh.ru/vacancy/82841754?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,INSITECH Development,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/79304758?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist,,,,ПАО «Газпром нефть» ИТ,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/80800495?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Инженер AI&ML (Data Scientist),,,,ООО СЕУСЛАБ,Пермь,https://chelyabinsk.hh.ru/vacancy/82179681?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Middle/Senior Data Scientist (Эмбеддинги),,,,"Иннотех, Группа компаний",Москва,https://chelyabinsk.hh.ru/vacancy/81524138?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
